Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,GBR,35,35201010,23574,ADAPTIMMUNE THERAPEUTICS PLC,00653A107,245.963,4.709,69.5,178.032,149.06,255.942,0.5387,-70.814,2024
A,USD,USA,35,35201010,23627,ATYR PHARMA INC,2120202,96.83,1.252,12.031,0.235,54.372,84.039,3.62,-64.023,2024
A,USD,USA,35,35201010,23812,REGENERON PHARMACEUTICALS,75886F107,37759.4,30.3,2908.5,14202,5233,109.6,712.33,4412.6,2024
A,USD,USA,35,35103010,23818,EVOLENT HEALTH INC,30050B101,2544.411,198.184,515.489,2554.741,,115.038,11.25,-61.623,2024
A,USD,USA,35,35201010,23980,ASTRIA THERAPEUTICS INC,04635X102,342.363,1.384,3.969,0,77.106,56.434,8.94,-94.26,2024
A,USD,USA,35,35201010,24040,IONIS PHARMACEUTICALS INC,462222100,3003.675,9.279,1949.502,705.138,901.53,157.909,34.96,-453.897,2024
A,USD,USA,35,35201010,24176,NATERA INC,632307104,1660.735,90.53,96.588,1696.911,404.138,132.646,158.3,-190.426,2024
A,USD,USA,35,35201010,24177,SERES THERAPEUTICS INC,81750R201,139.81,8.674,82.966,0,64.6,173.008,0.831,0.136,2024
A,USD,USA,35,35103010,24249,TELADOC HEALTH INC,87918A105,3516.524,561.06,1023.553,2569.574,307.274,173.405,9.09,-1001.245,2024
A,USD,IRL,35,35201010,24302,ALKERMES PLC,G01767105,2055.567,6.166,69.372,1557.632,245.326,162.177,28.76,367.07,2024
A,USD,USA,35,35201010,24344,VERTEX PHARMACEUTICALS INC,92532F100,22533.2,92.3,1657.2,11020.1,8258.7,256.94,402.7,-535.6,2024
A,USD,USA,35,35201010,24468,BIOGEN INC,09062X103,28049.3,1835,4881.7,9675.9,2041.8,145.8,152.92,1632.2,2024
A,USD,USA,35,35202010,24506,PULMATRIX INC,74584P301,9.943,0,0,7.806,7.166,3.652,6.98,-9.559,2024
A,USD,USA,35,35201010,24515,VTV THERAPEUTICS INC,918385204,38.266,0.169,0,1.017,11.546,2.612,13.8087,-18.462,2024
A,USD,USA,35,35201010,24598,BIOCARDIA INC,09060U606,3.724,0.385,0.566,0.058,4.387,4.601,2.18,-7.946,2024
A,USD,USA,35,35201010,24599,SPYRE THERAPEUTICS INC,00773J202,608.484,0,0,0,162.79,60.257,23.28,-208.018,2024
A,USD,IRL,35,35202010,24782,PERRIGO CO PLC,G97822103,9647.7,64.2,3735.5,4373.4,112.2,136.5,25.71,-171.8,2024
A,USD,USA,35,35201010,24856,GILEAD SCIENCES INC,375558103,58995,1928,25394,28754,14750,1246,92.37,480,2024
A,USD,USA,35,35201010,24966,GEOVAX LABS INC,373678705,8.156,0,0,3.955,23.714,10.537,2.47,-24.992,2024
A,USD,USA,35,35201010,24996,LINEAGE CELL THERAPEUTICS IN,53566P109,113.218,1.152,1.362,9.499,12.472,220.416,0.5025,-18.609,2024
A,USD,USA,35,35103010,25472,LIFEMD INC,53216B104,72.46,8.953,16.15,212.454,,42.191,4.95,-18.882,2024
A,USD,CHE,35,35202010,25648,ROCHE HOLDING AG,771195104,112336,4698,35418,68852,16888,6363.206,35.241,9134,2024
A,USD,CAN,35,35201010,25750,APTOSE BIOSCIENCES INC,03835T408,10.127,0.428,10.211,0,15.103,60.181,0.2253,-25.43,2024
A,USD,USA,35,35202010,25904,ACLARIS THERAPEUTICS INC,00461U105,220.327,0.481,2.117,18.72,120.491,107.85,2.48,-132.065,2024
A,USD,USA,35,35202010,25937,LIGAND PHARMACEUTICAL INC,53220K504,941.774,1.29,5.864,167.133,21.425,19.106,107.15,-4.032,2024
A,USD,USA,35,35201010,25999,GYRE THERAPEUTICS INC,403783103,125.406,0.713,0.885,105.757,12.024,86.308,12.1,12.085,2024
A,USD,USA,35,35201010,26081,KURA ONCOLOGY INC,50127T109,760.159,4.488,12.106,53.883,169.967,78.229,8.71,-173.983,2024
A,USD,USA,35,35201010,26112,CYTOMX THERAPEUTICS INC,23284F105,120.533,5.145,4.24,138.103,83.382,80.1,1.03,31.869,2024
A,USD,USA,35,35201010,26146,REGENXBIO INC,75901B107,465.989,42.211,99.509,83.328,208.522,49.549,7.73,-227.102,2024
A,USD,USA,35,35201010,26149,AVALO THERAPEUTICS INC,05338F306,150.732,0.568,0.35,0.441,52.078,10.472,7.43,-35.129,2024
A,USD,USA,35,35201010,26162,ANAPTYSBIO INC,32724106,483.834,1.925,367.538,91.28,163.84,30.473,13.24,-145.231,2024
A,USD,GBR,35,35201010,26204,AKARI THERAPEUTICS PLC -ADR,00972G405,50.562,3.26,0,0,6.983,26.593,1.22,-19.791,2024
A,USD,SGP,35,35202010,26340,WAVE LIFE SCIENCES LTD,Y95308105,352.207,7.638,17.766,108.302,159.682,153.037,12.37,-97.008,2024
A,USD,USA,35,35201010,26341,VOYAGER THERAPEUTICS INC,92915B106,393.05,7.227,36.499,80.001,127.368,54.731,5.67,-65.002,2024
A,USD,USA,35,35202010,26349,AXSOME THERAPEUTICS INC,05464T104,568.498,3.256,189.699,385.693,187.077,48.668,84.61,-287.216,2024
A,USD,USA,35,35202010,26356,ARTELO BIOSCIENCES INC,04301G706,4.698,0.035,0.069,0,5.993,3.281,1.06,-9.826,2024
A,USD,USA,35,35201010,26359,APELLIS PHARMACEUTICALS,03753U106,885.051,6.753,463.031,781.367,327.57,124.495,31.91,-197.878,2024
A,USD,CHE,35,35201010,26376,BEONE MEDICINES LTD,07725L102,5920.91,869.105,210.761,3810.241,1953.295,106.721,184.71,-644.786,2024
I,USD,NLD,35,35201010,26385,MERUS NV,N5749R100,782.693,1.704,8.208,36.133,225.368,68.829,42.05,-215.326,2024
